source,target,weight,direction,color,size
Transitional B cell,ZNF331,1.16862988311709,down,#1f77b4,2.33725976623418
Transitional B cell,IGHV1-46,1.12862500226255,down,#1f77b4,2.2572500045251
Transitional B cell,IGKV3-15,1.06999553365147,down,#1f77b4,2.13999106730294
Transitional B cell,NR4A2,1.06079207838174,down,#1f77b4,2.12158415676348
Transitional B cell,IGHV3-11,0.970806675485562,down,#1f77b4,1.941613350971124
Transitional B cell,IGKV4-1,0.926061370100606,up,#2ca02c,1.852122740201212
Transitional B cell,KLHL24,0.905969674307651,down,#1f77b4,1.811939348615302
Transitional B cell,IGLV2-14,0.902611131370541,down,#1f77b4,1.805222262741082
Transitional B cell,SENP6,0.889243244091813,down,#1f77b4,1.778486488183626
Transitional B cell,FOSB,0.858594043506832,down,#1f77b4,1.717188087013664
Transitional B cell,UTRN,0.83509850436492,down,#1f77b4,1.67019700872984
Transitional B cell,PHTF2,0.815802426499779,down,#1f77b4,1.631604852999558
Transitional B cell,MEF2A,0.796739105522637,down,#1f77b4,1.593478211045274
Transitional B cell,AREG,0.787923770822307,down,#1f77b4,1.575847541644614
Transitional B cell,CLASRP,0.762364948318479,down,#1f77b4,1.524729896636958
Transitional B cell,IGLV3-21,0.746392100308288,down,#1f77b4,1.492784200616576
Transitional B cell,SAFB2,0.740036186693348,down,#1f77b4,1.480072373386696
Transitional B cell,GPX4,0.7378362833884,down,#1f77b4,1.4756725667768
Transitional B cell,SRP72,0.735611921672696,down,#1f77b4,1.471223843345392
Transitional B cell,PAN3,0.734205004170703,down,#1f77b4,1.468410008341406
Naive B cell,IGLV2-14,1.3976509535917,down,#1f77b4,2.7953019071834
Naive B cell,IGHV1-46,1.30045715641838,down,#1f77b4,2.60091431283676
Naive B cell,RGS1,1.18884819652088,down,#1f77b4,2.37769639304176
Naive B cell,FOS,1.02576658710209,down,#1f77b4,2.05153317420418
Naive B cell,AC004448.2,1.0163904747231,down,#1f77b4,2.0327809494462
Naive B cell,NR4A2,0.991571716029999,down,#1f77b4,1.983143432059998
Naive B cell,FP236383.3,0.971447984712185,down,#1f77b4,1.94289596942437
Naive B cell,IGHV5-51,0.936749779748161,down,#1f77b4,1.873499559496322
