source,target,color,size,regulation,comparison,log2FC,p_value,q_value
AL117329.1,L2/3,#0066CC,4.88800851331658,Downregulated,Infant_vs_Adult,-4.88800851331658,0.0,0.0
AC013287.1,L2/3,#0066CC,3.68786010685066,Downregulated,Infant_vs_Adult,-3.68786010685066,0.0,0.0
STAT4,L2/3,#0066CC,5.26302379508601,Downregulated,Infant_vs_Adult,-5.26302379508601,0.0,0.0
RCAN2,L2/3,#0066CC,3.10096748157019,Downregulated,Infant_vs_Adult,-3.10096748157019,0.0,0.0
STXBP5-AS1,L2/3,#0066CC,3.14664496935407,Downregulated,Infant_vs_Adult,-3.14664496935407,0.0,0.0
TESPA1,L2/3,#0066CC,2.62107383281963,Downregulated,Infant_vs_Adult,-2.62107383281963,0.0,0.0
MPP7,L2/3,#0066CC,3.98092808520047,Downregulated,Infant_vs_Adult,-3.98092808520047,0.0,0.0
AC124852.1,L2/3,#0066CC,2.14026972728501,Downregulated,Infant_vs_Adult,-2.14026972728501,0.0,0.0
ZMAT4,L2/3,#0066CC,1.34294871716138,Downregulated,Infant_vs_Adult,-1.34294871716138,0.0,0.0
KCTD8,L2/3,#0066CC,1.96778284294918,Downregulated,Infant_vs_Adult,-1.96778284294918,0.0,0.0
SORCS1,L2/3,#0066CC,1.6657846167762,Downregulated,Infant_vs_Adult,-1.6657846167762,0.0,0.0
AC002460.2,L2/3,#CC0000,1.0,Upregulated,Elderly_vs_Adult,0.573305798444545,0.0,0.0
LINC00507,L2/3,#0066CC,1.0,Downregulated,Elderly_vs_Adult,-0.622406795371074,0.0,0.0
LINC02306,L2/3,#0066CC,5.16614400490653,Downregulated,Infant_vs_Adult,-5.16614400490653,0.0,0.0
AC008696.2,L2/3,#0066CC,6.0,Downregulated,Infant_vs_Adult,-6.83301359511135,0.0,0.0
AC019211.1,L2/3,#0066CC,3.02652185031152,Downregulated,Infant_vs_Adult,-3.02652185031152,0.0,0.0
LINC01378,L2/3,#0066CC,3.12981469175179,Downregulated,Infant_vs_Adult,-3.12981469175179,0.0,0.0
CLU,L2/3,#0066CC,2.37588275666583,Downregulated,Infant_vs_Adult,-2.37588275666583,0.0,0.0
NR3C2,L2/3,#0066CC,2.49326631008993,Downregulated,Infant_vs_Adult,-2.49326631008993,0.0,0.0
IGSF9B,L2/3,#0066CC,3.31897842356354,Downregulated,Infant_vs_Adult,-3.31897842356354,0.0,0.0
AL157944.1,L2/3,#0066CC,2.785685179707,Downregulated,Infant_vs_Adult,-2.785685179707,0.0,0.0
STEAP2,L2/3,#0066CC,2.7866826410083,Downregulated,Infant_vs_Adult,-2.7866826410083,0.0,0.0
KIF13A,L2/3,#0066CC,2.36345103814208,Downregulated,Infant_vs_Adult,-2.36345103814208,0.0,0.0
GAB1,L2/3,#CC0000,1.0,Upregulated,Elderly_vs_Adult,0.598739253230031,0.0,0.0
KIAA1217,L2/3,#0066CC,2.32592578560833,Downregulated,Infant_vs_Adult,-2.32592578560833,0.0,0.0
HTR1E,L2/3,#CC0000,1.0,Upregulated,Elderly_vs_Adult,0.668830085211052,0.0,0.0
PAM,L2/3,#0066CC,1.83302775397438,Downregulated,Infant_vs_Adult,-1.83302775397438,0.0,0.0
AQP4-AS1,L2/3,#0066CC,2.02282447399573,Downregulated,Infant_vs_Adult,-2.02282447399573,0.0,0.0
SYNJ2,L2/3,#0066CC,2.8010316105265,Downregulated,Infant_vs_Adult,-2.8010316105265,0.0,0.0
ST8SIA5,L2/3,#0066CC,1.64374924798074,Downregulated,Infant_vs_Adult,-1.64374924798074,0.0,0.0
SEC14L5,L2/3,#0066CC,1.98348748028328,Downregulated,Infant_vs_Adult,-1.98348748028328,0.0,0.0
SPECC1,L2/3,#0066CC,1.68689902572771,Downregulated,Infant_vs_Adult,-1.68689902572771,0.0,0.0
KCNAB2,L2/3,#0066CC,1.79954322230213,Downregulated,Infant_vs_Adult,-1.79954322230213,0.0,0.0
TNFRSF25,L2/3,#0066CC,2.60432219512076,Downregulated,Infant_vs_Adult,-2.60432219512076,0.0,0.0
CDK6,L2/3,#0066CC,1.83374574194657,Downregulated,Infant_vs_Adult,-1.83374574194657,0.0,0.0
HOPX,L2/3,#0066CC,1.0,Downregulated,Elderly_vs_Adult,-0.618497537298341,0.0,0.0
KCTD1,L2/3,#0066CC,2.01466608678342,Downregulated,Infant_vs_Adult,-2.01466608678342,0.0,0.0
MRPS30-DT,L2/3,#0066CC,1.93307619077958,Downregulated,Infant_vs_Adult,-1.93307619077958,0.0,0.0
VWA3A,L2/3,#0066CC,3.12318012445238,Downregulated,Infant_vs_Adult,-3.12318012445238,0.0,0.0
DDAH1,L2/3,#0066CC,1.57700672555443,Downregulated,Infant_vs_Adult,-1.57700672555443,0.0,0.0
DKK3,L2/3,#0066CC,1.65182179261202,Downregulated,Infant_vs_Adult,-1.65182179261202,0.0,0.0
PART1,L2/3,#0066CC,1.84544294632808,Downregulated,Infant_vs_Adult,-1.84544294632808,0.0,0.0
PTK2B,L2/3,#0066CC,1.7809971322531,Downregulated,Infant_vs_Adult,-1.7809971322531,0.0,0.0
SPARCL1,L2/3,#0066CC,2.07165156343258,Downregulated,Infant_vs_Adult,-2.07165156343258,0.0,0.0
BAIAP3,L2/3,#0066CC,5.10413489464531,Downregulated,Infant_vs_Adult,-5.10413489464531,0.0,0.0
KCNT1,L2/3,#0066CC,1.58049646140295,Downregulated,Infant_vs_Adult,-1.58049646140295,0.0,0.0
PEAK1,L2/3,#0066CC,1.44637686363028,Downregulated,Infant_vs_Adult,-1.44637686363028,0.0,0.0
NIPAL2,L2/3,#0066CC,1.76368001633048,Downregulated,Infant_vs_Adult,-1.76368001633048,0.0,0.0
ZBTB16,L2/3,#0066CC,1.16601177546046,Downregulated,Infant_vs_Adult,-1.16601177546046,0.0,0.0
LINC02296,L2/3,#0066CC,1.0,Downregulated,Elderly_vs_Adult,-0.575584418498525,6.13020444683859e-97,1.82244848000065e-92
PPP1R16B,L2/3,#0066CC,1.33007963642849,Downregulated,Infant_vs_Adult,-1.33007963642849,0.0,0.0
DPP7,L2/3,#0066CC,1.63820826347071,Downregulated,Infant_vs_Adult,-1.63820826347071,0.0,0.0
BMPER,L2/3,#0066CC,1.0,Downregulated,Infant_vs_Adult,-0.766033919567471,0.0,0.0
BBX,L2/3,#0066CC,1.58993812324663,Downregulated,Infant_vs_Adult,-1.58993812324663,0.0,0.0
KIAA0930,L2/3,#0066CC,1.71534317317507,Downregulated,Infant_vs_Adult,-1.71534317317507,0.0,0.0
HHAT,L2/3,#0066CC,3.91167237638811,Downregulated,Infant_vs_Adult,-3.91167237638811,0.0,0.0
CTNNAL1,L2/3,#0066CC,1.49993048090755,Downregulated,Infant_vs_Adult,-1.49993048090755,0.0,0.0
EPB41,L2/3,#0066CC,2.1810908581688,Downregulated,Infant_vs_Adult,-2.1810908581688,0.0,0.0
STAMBPL1,L2/3,#0066CC,1.78451583604473,Downregulated,Infant_vs_Adult,-1.78451583604473,0.0,0.0
LZTS3,L2/3,#0066CC,1.79579412500752,Downregulated,Infant_vs_Adult,-1.79579412500752,0.0,0.0
CDKL1,L2/3,#0066CC,1.62552073884078,Downregulated,Infant_vs_Adult,-1.62552073884078,0.0,0.0
AC016831.7,L2/3,#CC0000,1.0,Upregulated,Elderly_vs_Adult,0.75217983030785,0.0,0.0
AC073365.1,L2/3,#0066CC,2.13394911690546,Downregulated,Infant_vs_Adult,-2.13394911690546,0.0,0.0
CRYL1,L2/3,#0066CC,1.60317256737459,Downregulated,Infant_vs_Adult,-1.60317256737459,0.0,0.0
KCNK1,L2/3,#0066CC,1.2379593705415,Downregulated,Infant_vs_Adult,-1.2379593705415,0.0,0.0
CAPS2,L2/3,#0066CC,1.8203526733456,Downregulated,Infant_vs_Adult,-1.8203526733456,0.0,0.0
RBMS1,L2/3,#0066CC,1.36994160105167,Downregulated,Infant_vs_Adult,-1.36994160105167,0.0,0.0
