source,target,color,size,comparison,regulation,log2FC,p_value,q_value
ATP6V0B,L2/3,#d9534f,6.0,Elderly_vs_Adult,Downregulated,-1.43700245727797,0.0,0.0
ATP6V0B,ast,#d9534f,1.8192540411060059,Elderly_vs_Adult,Downregulated,-0.684531758113121,1.85165428246797e-86,5.50478301634903e-82
ATP6V0B,oli,#d9534f,1.3068547004277864,Elderly_vs_Adult,Downregulated,-0.608953984051865,0.0,0.0
ATP6V0B,opc,#d9534f,3.121032038359164,Elderly_vs_Adult,Downregulated,-0.876541145213598,3.89954989360469e-72,1.15929718786974e-67
ATP6V0B,L4,#d9534f,5.302680710331714,Elderly_vs_Adult,Downregulated,-1.19832951869811,0.0,0.0
ATP6V0B,L5/6,#d9534f,2.6289444928316468,Elderly_vs_Adult,Downregulated,-0.803959316195219,3.1728189703659e-72,9.43247351700077e-68
ATP6V0B,L5/6-CC,#d9534f,3.9706466011126547,Elderly_vs_Adult,Downregulated,-1.00185742172938,1.27316278083624e-164,3.78498563114805e-160
ATP6V0B,ext,#d9534f,5.611673337672144,Elderly_vs_Adult,Downregulated,-1.24390525059663,0.0,0.0
ATP6V0B,inb,#d9534f,4.0354784498024046,Elderly_vs_Adult,Downregulated,-1.01141997660262,0.0,0.0
ATP6V0B,inb-sst,#d9534f,2.5825856126320135,Elderly_vs_Adult,Downregulated,-0.797121483482899,1.42872147386105e-103,4.2474460696415e-99
ATP6V0B,inb-pv,#d9534f,4.137805954333638,Elderly_vs_Adult,Downregulated,-1.02651305811884,2.85490820936128e-145,8.48735661561015e-141
ATP6V0B,inb-vip,#d9534f,4.731264029243519,Elderly_vs_Adult,Downregulated,-1.11404681692696,3.83080690098667e-158,1.13886058359433e-153
ATP6V0B,inb-sv2c,#d9534f,4.58870606974738,Elderly_vs_Adult,Downregulated,-1.09301983192114,9.64040776230826e-51,2.86599682365662e-46
ATP6V0B,micro,#d9534f,1.658026911884599,Elderly_vs_Adult,Downregulated,-0.660751111696379,9.02756582671848e-66,2.68380504462514e-61
NDUFC2,L2/3,#d9534f,3.9372664708629808,Elderly_vs_Adult,Downregulated,-0.996933926045709,0.0,0.0
NDUFC2,ast,#d9534f,1.1903589820955949,Elderly_vs_Adult,Downregulated,-0.591771122209068,5.55318135404279e-75,1.65090528474338e-70
NDUFC2,oli,#d9534f,1.0,Elderly_vs_Adult,Downregulated,-0.524974737994978,2.99454285470216e-254,8.90247645274406e-250
NDUFC2,opc,#d9534f,2.33774378631386,Elderly_vs_Adult,Downregulated,-0.761007853426846,3.04599668014974e-54,9.05544353041716e-50
NDUFC2,L4,#d9534f,3.894731432165472,Elderly_vs_Adult,Downregulated,-0.990660101531977,0.0,0.0
NDUFC2,L5/6,#d9534f,3.414471273734363,Elderly_vs_Adult,Downregulated,-0.919822786057515,1.54861837752489e-67,4.60388757454373e-63
NDUFC2,L5/6-CC,#d9534f,3.0246105386751716,Elderly_vs_Adult,Downregulated,-0.862319186402881,2.2527972418786e-106,6.69734092038088e-102
NDUFC2,ext,#d9534f,3.86080994036078,Elderly_vs_Adult,Downregulated,-0.985656756211426,0.0,0.0
NDUFC2,inb,#d9534f,3.543251601197321,Elderly_vs_Adult,Downregulated,-0.93881760068715,0.0,0.0
NDUFC2,inb-sst,#d9534f,2.908306176434011,Elderly_vs_Adult,Downregulated,-0.845164549162001,2.15820681949034e-99,6.41613305366283e-95
NDUFC2,inb-pv,#d9534f,4.306623199346926,Elderly_vs_Adult,Downregulated,-1.05141322989574,4.6649215040189e-124,1.38683451392978e-119
NDUFC2,inb-vip,#d9534f,3.3001712055418198,Elderly_vs_Adult,Downregulated,-0.902963777773843,8.95287592816898e-88,2.66160048468535e-83
NDUFC2,inb-sv2c,#d9534f,3.5901297579716163,Elderly_vs_Adult,Downregulated,-0.945732025550395,1.801571102594e-30,5.35589073090169e-26
NDUFC2,micro,#d9534f,1.276741904533137,Elderly_vs_Adult,Downregulated,-0.604512412988432,2.63648867186492e-59,7.83801717258723e-55
HSPA8,L2/3,#d9534f,6.0,Elderly_vs_Adult,Downregulated,-1.61900764118162,0.0,0.0
HSPA8,ast,#d9534f,3.3090736289934672,Elderly_vs_Adult,Downregulated,-0.904276865623128,2.32596245899953e-247,6.9148537943597e-243
HSPA8,oli,#d9534f,3.9659246686637926,Elderly_vs_Adult,Downregulated,-1.00116094709442,0.0,0.0
HSPA8,opc,#d9534f,4.218179287784473,Elderly_vs_Adult,Downregulated,-1.0383679477603,1.59695789433595e-127,4.74759612407134e-123
HSPA8,L4,#d9534f,5.329461467501558,Elderly_vs_Adult,Downregulated,-1.20227962138929,0.0,0.0
HSPA8,L5/6,#d9534f,5.0203598671445135,Elderly_vs_Adult,Downregulated,-1.15668781621086,9.55286542360543e-120,2.83997136178366e-115
HSPA8,L5/6-CC,#d9534f,4.839996429332773,Elderly_vs_Adult,Downregulated,-1.13008460642959,1.11177169424505e-196,3.30518606982111e-192
HSPA8,ext,#d9534f,6.0,Elderly_vs_Adult,Downregulated,-1.38046068058981,0.0,0.0
HSPA8,inb,#d9534f,6.0,Elderly_vs_Adult,Downregulated,-1.35353981604468,0.0,0.0
HSPA8,inb-sst,#d9534f,4.319228035541441,Elderly_vs_Adult,Downregulated,-1.0532724154691,2.8984437445796e-147,8.6167834082607e-143
HSPA8,inb-pv,#d9534f,6.0,Elderly_vs_Adult,Downregulated,-1.41014377443123,1.06079254288514e-258,3.15363015074323e-254
HSPA8,inb-vip,#d9534f,6.0,Elderly_vs_Adult,Downregulated,-1.51897020050547,7.07842703973548e-301,2.10434557464296e-296
