id,label,type,degree,size,color,community_greedy,community_labelprop
ATP6V0B,ATP6V0B,gene,14,14,#1f77b4,1,1
NDUFC2,NDUFC2,gene,14,14,#1f77b4,1,1
HSPA8,HSPA8,gene,14,14,#1f77b4,1,1
PRDX2,PRDX2,gene,14,14,#1f77b4,1,1
oli,oli,cell_type,40,24,#ff7f0e,1,1
ATP5F1D,ATP5F1D,gene,14,14,#1f77b4,1,1
COX5B,COX5B,gene,14,14,#1f77b4,1,1
NDUFB8,NDUFB8,gene,14,14,#1f77b4,1,1
TUBB2A,TUBB2A,gene,14,14,#1f77b4,1,1
ast,ast,cell_type,40,24,#ff7f0e,1,3
GUK1,GUK1,gene,14,14,#1f77b4,1,1
RNASEK,RNASEK,gene,14,14,#1f77b4,1,1
TPI1,TPI1,gene,14,14,#1f77b4,1,1
NDUFA4,NDUFA4,gene,14,14,#1f77b4,1,1
opc,opc,cell_type,40,24,#ff7f0e,1,1
inb,inb,cell_type,40,24,#ff7f0e,1,1
ext,ext,cell_type,40,24,#ff7f0e,2,1
CKB,CKB,gene,14,14,#1f77b4,1,1
inb-vip,inb-vip,cell_type,40,24,#ff7f0e,1,1
ATP5F1B,ATP5F1B,gene,14,14,#1f77b4,1,1
STMN2,STMN2,gene,14,14,#1f77b4,1,1
THY1,THY1,gene,14,14,#1f77b4,1,1
COX4I1,COX4I1,gene,14,14,#1f77b4,1,1
SCG5,SCG5,gene,14,14,#1f77b4,1,1
L2/3,L2/3,cell_type,40,24,#ff7f0e,0,0
UBC,UBC,gene,14,14,#1f77b4,1,1
YWHAB,YWHAB,gene,14,14,#1f77b4,1,1
CALM3,CALM3,gene,14,14,#1f77b4,1,1
L4,L4,cell_type,40,24,#ff7f0e,2,1
OAZ1,OAZ1,gene,14,14,#1f77b4,1,1
micro,micro,cell_type,40,24,#ff7f0e,1,1
CHCHD2,CHCHD2,gene,14,14,#1f77b4,1,1
GABARAPL2,GABARAPL2,gene,14,14,#1f77b4,1,1
YWHAH,YWHAH,gene,14,14,#1f77b4,1,1
inb-sst,inb-sst,cell_type,40,24,#ff7f0e,1,1
VAMP2,VAMP2,gene,14,14,#1f77b4,1,1
GAPDH,GAPDH,gene,14,14,#1f77b4,1,1
UBB,UBB,gene,14,14,#1f77b4,1,1
AP2M1,AP2M1,gene,14,14,#1f77b4,1,1
TUBA1A,TUBA1A,gene,14,14,#1f77b4,1,1
L5/6,L5/6,cell_type,40,24,#ff7f0e,1,1
EDF1,EDF1,gene,14,14,#1f77b4,1,1
PARK7,PARK7,gene,14,14,#1f77b4,1,1
L5/6-CC,L5/6-CC,cell_type,40,24,#ff7f0e,2,1
MDH1,MDH1,gene,14,14,#1f77b4,1,1
CFL1,CFL1,gene,14,14,#1f77b4,1,1
LDHB,LDHB,gene,14,14,#1f77b4,1,1
CCDC85B,CCDC85B,gene,14,14,#1f77b4,1,1
NRGN,NRGN,gene,14,14,#1f77b4,1,1
SOD1,SOD1,gene,14,14,#1f77b4,1,1
STMN1,STMN1,gene,14,14,#1f77b4,1,1
inb-sv2c,inb-sv2c,cell_type,40,24,#ff7f0e,1,1
inb-pv,inb-pv,cell_type,40,24,#ff7f0e,1,1
GPX4,GPX4,gene,14,14,#1f77b4,1,1
