id,label,type,degree,color,size
AL117329.1,AL117329.1,gene,1,#2E7D32,3.0
L2/3,L2/3,cell_type,3744,#FB8C00,14.0
AC013287.1,AC013287.1,gene,3,#2E7D32,3.9331820449317627
STAT4,STAT4,gene,1,#2E7D32,3.0
RCAN2,RCAN2,gene,2,#2E7D32,3.515716566510398
STXBP5-AS1,STXBP5-AS1,gene,3,#2E7D32,3.9331820449317627
TESPA1,TESPA1,gene,1,#2E7D32,3.0
MPP7,MPP7,gene,2,#2E7D32,3.515716566510398
AC124852.1,AC124852.1,gene,2,#2E7D32,3.515716566510398
ZMAT4,ZMAT4,gene,1,#2E7D32,3.0
KCTD8,KCTD8,gene,1,#2E7D32,3.0
SORCS1,SORCS1,gene,1,#2E7D32,3.0
AC002460.2,AC002460.2,gene,5,#2E7D32,4.626527804403767
LINC00507,LINC00507,gene,1,#2E7D32,3.0
LINC02306,LINC02306,gene,2,#2E7D32,3.515716566510398
AC008696.2,AC008696.2,gene,1,#2E7D32,3.0
AC019211.1,AC019211.1,gene,2,#2E7D32,3.515716566510398
LINC01378,LINC01378,gene,2,#2E7D32,3.515716566510398
CLU,CLU,gene,2,#2E7D32,3.515716566510398
NR3C2,NR3C2,gene,4,#2E7D32,4.29739670999407
IGSF9B,IGSF9B,gene,1,#2E7D32,3.0
AL157944.1,AL157944.1,gene,1,#2E7D32,3.0
STEAP2,STEAP2,gene,1,#2E7D32,3.0
KIF13A,KIF13A,gene,1,#2E7D32,3.0
GAB1,GAB1,gene,5,#2E7D32,4.626527804403767
KIAA1217,KIAA1217,gene,2,#2E7D32,3.515716566510398
HTR1E,HTR1E,gene,3,#2E7D32,3.9331820449317627
PAM,PAM,gene,1,#2E7D32,3.0
AQP4-AS1,AQP4-AS1,gene,3,#2E7D32,3.9331820449317627
SYNJ2,SYNJ2,gene,1,#2E7D32,3.0
ST8SIA5,ST8SIA5,gene,1,#2E7D32,3.0
SEC14L5,SEC14L5,gene,1,#2E7D32,3.0
SPECC1,SPECC1,gene,2,#2E7D32,3.515716566510398
KCNAB2,KCNAB2,gene,1,#2E7D32,3.0
TNFRSF25,TNFRSF25,gene,1,#2E7D32,3.0
CDK6,CDK6,gene,1,#2E7D32,3.0
HOPX,HOPX,gene,14,#2E7D32,6.871658325766914
KCTD1,KCTD1,gene,1,#2E7D32,3.0
MRPS30-DT,MRPS30-DT,gene,1,#2E7D32,3.0
VWA3A,VWA3A,gene,1,#2E7D32,3.0
DDAH1,DDAH1,gene,1,#2E7D32,3.0
DKK3,DKK3,gene,2,#2E7D32,3.515716566510398
PART1,PART1,gene,1,#2E7D32,3.0
PTK2B,PTK2B,gene,2,#2E7D32,3.515716566510398
SPARCL1,SPARCL1,gene,1,#2E7D32,3.0
BAIAP3,BAIAP3,gene,2,#2E7D32,3.515716566510398
KCNT1,KCNT1,gene,1,#2E7D32,3.0
PEAK1,PEAK1,gene,1,#2E7D32,3.0
NIPAL2,NIPAL2,gene,1,#2E7D32,3.0
ZBTB16,ZBTB16,gene,6,#2E7D32,4.930156051583522
LINC02296,LINC02296,gene,2,#2E7D32,3.515716566510398
PPP1R16B,PPP1R16B,gene,1,#2E7D32,3.0
DPP7,DPP7,gene,7,#2E7D32,5.214095849716038
BMPER,BMPER,gene,2,#2E7D32,3.515716566510398
BBX,BBX,gene,2,#2E7D32,3.515716566510398
KIAA0930,KIAA0930,gene,2,#2E7D32,3.515716566510398
HHAT,HHAT,gene,2,#2E7D32,3.515716566510398
CTNNAL1,CTNNAL1,gene,1,#2E7D32,3.0
EPB41,EPB41,gene,1,#2E7D32,3.0
STAMBPL1,STAMBPL1,gene,2,#2E7D32,3.515716566510398
LZTS3,LZTS3,gene,2,#2E7D32,3.515716566510398
CDKL1,CDKL1,gene,1,#2E7D32,3.0
AC016831.7,AC016831.7,gene,6,#2E7D32,4.930156051583522
AC073365.1,AC073365.1,gene,2,#2E7D32,3.515716566510398
CRYL1,CRYL1,gene,1,#2E7D32,3.0
KCNK1,KCNK1,gene,1,#2E7D32,3.0
CAPS2,CAPS2,gene,2,#2E7D32,3.515716566510398
RBMS1,RBMS1,gene,1,#2E7D32,3.0
AKAP12,AKAP12,gene,2,#2E7D32,3.515716566510398
